,human,rt,typical_name,oddity_name,category,it,v4,pool3,pool4,pool5,fc6,fc7,fc8,check,marker,delta_it_v4,delta_prc_it,delta_fc6_v4,delta_prc_fc6,delta_prc_v4
0,0.9545454545454546,1681.7727272727273,_033,_001,chairs,0.61,0.24,0.29,0.29,0.29,0.99,1.0,1.0,"('_033', '_001')",525,0.37,0.3445454545454546,0.75,-0.035454545454545405,0.7145454545454546
1,0.8611111111111112,2433.722222222222,blCow,bear,animals,0.95,0.57,0.6,0.6,0.6,1.0,1.0,0.99,"('blCow', 'bear')",195,0.38,-0.0888888888888888,0.43000000000000005,-0.13888888888888884,0.2911111111111112
2,0.9473684210526315,2510.684210526316,breed_pug,ELEPHANT_M,animals,0.54,0.37,0.3,0.3,0.3,0.8,0.73,0.72,"('breed_pug', 'ELEPHANT_M')",210,0.17000000000000004,0.4073684210526315,0.43000000000000005,0.14736842105263148,0.5773684210526315
3,0.8181818181818182,3274.4242424242425,face0006,face0007,faces,0.58,0.34,0.4,0.4,0.4,0.56,0.59,0.62,"('face0006', 'face0007')",1040,0.23999999999999994,0.23818181818181827,0.22000000000000003,0.2581818181818182,0.4781818181818182
4,1.0,1658.7142857142858,_011,_014,chairs,0.95,0.63,0.59,0.59,0.59,0.97,0.95,0.84,"('_011', '_014')",440,0.31999999999999995,0.050000000000000044,0.33999999999999997,0.030000000000000027,0.37
5,0.78125,3424.09375,face0007,face0002,faces,0.3,0.33,0.27,0.27,0.27,0.18,0.23,0.21,"('face0007', 'face0002')",1055,-0.030000000000000027,0.48125,-0.15000000000000002,0.6012500000000001,0.45125
6,0.75,3075.0,_001,_014,chairs,0.41,0.51,0.3,0.3,0.3,0.86,0.84,0.68,"('_001', '_014')",301,-0.10000000000000003,0.34,0.35,-0.10999999999999999,0.24
7,0.8157894736842105,3156.657894736842,junkers88,f16,planes,0.4,0.58,0.42,0.42,0.42,0.61,0.68,0.78,"('junkers88', 'f16')",715,-0.17999999999999994,0.4157894736842105,0.030000000000000027,0.20578947368421052,0.23578947368421055
8,0.7647058823529411,3314.8823529411766,face0002,face0005,faces,0.39,0.53,0.33,0.33,0.33,0.26,0.25,0.27,"('face0002', 'face0005')",890,-0.14,0.3747058823529411,-0.27,0.5047058823529411,0.2347058823529411
9,0.8125,2731.15625,rdbarren,f16,planes,0.27,0.18,0.49,0.49,0.49,0.91,0.93,0.98,"('rdbarren', 'f16')",785,0.09000000000000002,0.5425,0.73,-0.09750000000000003,0.6325000000000001
10,1.0,2244.8064516129034,GORILLA,breed_pug,animals,0.92,0.34,0.42,0.42,0.42,1.0,1.0,1.0,"('GORILLA', 'breed_pug')",60,0.5800000000000001,0.07999999999999996,0.6599999999999999,0.0,0.6599999999999999
11,0.7096774193548387,3166.2258064516127,face0006,face0003,faces,0.49,0.57,0.42,0.42,0.42,0.37,0.37,0.33,"('face0006', 'face0003')",1025,-0.07999999999999996,0.21967741935483875,-0.19999999999999996,0.33967741935483875,0.1396774193548388
12,0.7931034482758621,2621.2758620689656,_033,_031,chairs,0.75,0.32,0.65,0.65,0.65,0.48,0.4,0.27,"('_033', '_031')",555,0.43,0.0431034482758621,0.15999999999999998,0.3131034482758621,0.4731034482758621
13,0.9655172413793104,1703.4827586206898,blCow,LIONESS,animals,0.98,0.6,0.42,0.42,0.42,0.88,0.87,0.82,"('blCow', 'LIONESS')",185,0.38,-0.014482758620689595,0.28,0.08551724137931038,0.3655172413793104
14,0.9545454545454546,2126.8636363636365,sopwith,_19_flyingBoat,planes,0.72,0.58,0.54,0.54,0.54,0.91,0.91,0.9,"('sopwith', '_19_flyingBoat')",815,0.14,0.2345454545454546,0.33000000000000007,0.044545454545454555,0.3745454545454546
15,0.8076923076923077,2691.653846153846,mig29,rdbarren,planes,0.45,0.31,0.58,0.58,0.58,0.99,0.98,0.98,"('mig29', 'rdbarren')",760,0.14,0.3576923076923077,0.6799999999999999,-0.18230769230769228,0.4976923076923077
