,experiment,layer,accuracy
0,novel_high,pixel,0.2857142857142857
1,novel_high,conv1_1,0.22857142857142856
2,novel_high,conv1_2,0.3142857142857143
3,novel_high,pool1,0.2
4,novel_high,conv2_1,0.2
5,novel_high,conv2_2,0.3142857142857143
6,novel_high,pool2,0.2571428571428571
7,novel_high,conv3_1,0.3142857142857143
8,novel_high,conv3_2,0.2857142857142857
9,novel_high,conv3_3,0.2571428571428571
10,novel_high,pool3,0.2
11,novel_high,conv4_1,0.17142857142857143
12,novel_high,conv4_2,0.2
13,novel_high,conv4_3,0.2
14,novel_high,pool4,0.11428571428571428
15,novel_high,conv5_1,0.17142857142857143
16,novel_high,conv5_2,0.08571428571428572
17,novel_high,conv5_3,0.14285714285714285
18,novel_high,pool5,0.11428571428571428
19,novel_high,fc6,0.17142857142857143
20,novel_high,fc7,0.2
21,novel_high,fc8,0.22857142857142856
22,novel_low,pixel,0.8285714285714286
23,novel_low,conv1_1,0.7428571428571429
24,novel_low,conv1_2,0.7714285714285715
25,novel_low,pool1,0.8571428571428571
26,novel_low,conv2_1,0.5714285714285714
27,novel_low,conv2_2,0.5428571428571428
28,novel_low,pool2,0.6857142857142857
29,novel_low,conv3_1,0.7428571428571429
30,novel_low,conv3_2,0.8285714285714286
31,novel_low,conv3_3,0.9142857142857143
32,novel_low,pool3,0.9428571428571428
33,novel_low,conv4_1,0.9428571428571428
34,novel_low,conv4_2,0.9428571428571428
35,novel_low,conv4_3,0.9428571428571428
36,novel_low,pool4,0.9428571428571428
37,novel_low,conv5_1,0.9714285714285714
38,novel_low,conv5_2,0.9714285714285714
39,novel_low,conv5_3,0.9714285714285714
40,novel_low,pool5,1.0
41,novel_low,fc6,1.0
42,novel_low,fc7,1.0
43,novel_low,fc8,1.0
44,familiar_high,pixel,0.3142857142857143
45,familiar_high,conv1_1,0.2857142857142857
46,familiar_high,conv1_2,0.3142857142857143
47,familiar_high,pool1,0.2857142857142857
48,familiar_high,conv2_1,0.4
49,familiar_high,conv2_2,0.2857142857142857
50,familiar_high,pool2,0.2857142857142857
51,familiar_high,conv3_1,0.3142857142857143
52,familiar_high,conv3_2,0.22857142857142856
53,familiar_high,conv3_3,0.2857142857142857
54,familiar_high,pool3,0.22857142857142856
55,familiar_high,conv4_1,0.3142857142857143
56,familiar_high,conv4_2,0.2571428571428571
57,familiar_high,conv4_3,0.2571428571428571
58,familiar_high,pool4,0.2571428571428571
59,familiar_high,conv5_1,0.2857142857142857
60,familiar_high,conv5_2,0.2571428571428571
61,familiar_high,conv5_3,0.3142857142857143
62,familiar_high,pool5,0.2857142857142857
63,familiar_high,fc6,0.3142857142857143
64,familiar_high,fc7,0.34285714285714286
65,familiar_high,fc8,0.3142857142857143
66,familiar_low,pixel,0.4857142857142857
67,familiar_low,conv1_1,0.4857142857142857
68,familiar_low,conv1_2,0.4857142857142857
69,familiar_low,pool1,0.5142857142857142
70,familiar_low,conv2_1,0.5142857142857142
71,familiar_low,conv2_2,0.45714285714285713
72,familiar_low,pool2,0.4857142857142857
73,familiar_low,conv3_1,0.4857142857142857
74,familiar_low,conv3_2,0.45714285714285713
75,familiar_low,conv3_3,0.5428571428571428
76,familiar_low,pool3,0.5714285714285714
77,familiar_low,conv4_1,0.5714285714285714
78,familiar_low,conv4_2,0.6
79,familiar_low,conv4_3,0.6285714285714286
80,familiar_low,pool4,0.7142857142857143
81,familiar_low,conv5_1,0.7428571428571429
82,familiar_low,conv5_2,0.7428571428571429
83,familiar_low,conv5_3,0.8285714285714286
84,familiar_low,pool5,0.8285714285714286
85,familiar_low,fc6,0.8571428571428571
86,familiar_low,fc7,0.9142857142857143
87,familiar_low,fc8,0.8571428571428571
88,oddity,pixel,1.0
89,oddity,conv1_1,1.0
90,oddity,conv1_2,1.0
91,oddity,pool1,1.0
92,oddity,conv2_1,1.0
93,oddity,conv2_2,1.0
94,oddity,pool2,1.0
95,oddity,conv3_1,1.0
96,oddity,conv3_2,1.0
97,oddity,conv3_3,1.0
98,oddity,pool3,1.0
99,oddity,conv4_1,1.0
100,oddity,conv4_2,1.0
101,oddity,conv4_3,1.0
102,oddity,pool4,1.0
103,oddity,conv5_1,1.0
104,oddity,conv5_2,1.0
105,oddity,conv5_3,1.0
106,oddity,pool5,1.0
107,oddity,fc6,1.0
108,oddity,fc7,1.0
109,oddity,fc8,1.0
